player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
SOLBON,T1 Esports Academy Rookies,mid,45,35,3.8444444444444446,2.2,8.6,628.4412955555556,8.41383111111111,29.0,77.8,5.66,77.8,5.66,LAS,Latin America
Forest,REJECT,jng,60,47,4.55,2.933333333333333,10.95,605.931975,6.970993333333333,43.45,78.3,5.28,80.5,5.66,LJL,Japan
ardaffler,Odivelas Sports Club,bot,33,20,5.212121212121212,1.9393939393939394,5.7272727272727275,796.5003303030303,9.112969696969698,32.72727272727273,60.6,5.64,60.6,5.64,LPLOL,Other
Shini,Cusprills,jng,15,10,4.333333333333333,2.533333333333333,9.933333333333334,580.2709733333334,6.795646666666667,44.4,66.7,5.63,66.7,5.63,CD,Latin America
FakeGod,Luminosity Gaming,top,64,48,3.515625,1.75,6.890625,657.300721875,7.653525,32.890625,75.0,5.95,70.1,5.63,NACL,North America
Raina,REJECT,sup,60,47,1.0166666666666666,3.05,15.15,211.09539333333333,0.972515,99.23333333333333,78.3,5.3,80.5,5.63,LJL,Japan
Hans SamD,Ici Japon Corp. Esport,bot,55,30,6.218181818181818,2.0,5.036363636363636,859.6176254545455,10.295421818181818,46.89090909090909,54.5,5.63,54.5,5.63,LFL,Europe
Zwyroo,NORD Esports,mid,20,14,4.85,2.05,6.7,789.9875850000001,8.538915,26.6,70.0,5.63,70.0,5.63,NLC,Europe
Caliste,Karmine Corp,bot,106,63,4.943396226415095,1.9056603773584906,5.273584905660377,738.5302066037735,9.817866981132076,39.95283018867924,59.4,5.36,61.1,5.62,LEC,Europe
Keine,Isurus,mid,11,9,4.2727272727272725,2.6363636363636362,10.545454545454545,818.8726272727272,8.696136363636363,32.81818181818182,81.8,5.62,81.8,5.62,LTA S,Latin America
Fun K3y,Kaufland Hangry Knights,bot,10,4,4.0,1.7,5.5,716.46561,9.45889,49.0,40.0,5.59,40.0,5.59,PRM,Europe
HongSuo,Deep Cross Gaming,mid,107,74,5.242990654205608,2.485981308411215,8.373831775700934,773.8221925233645,8.374582242990654,32.60747663551402,69.2,5.48,70.0,5.59,PCS,Southeast Asia
zamulek,Kiedyś Miałem Fun,bot,26,18,5.961538461538462,2.3846153846153846,7.346153846153846,913.9151230769231,9.14058846153846,36.80769230769231,69.2,5.58,69.2,5.58,RL,Other
choego,Senshi eSports,bot,32,22,6.59375,2.28125,6.125,788.891021875,9.078715625,26.53125,68.8,5.58,68.8,5.58,ROL,Other
Serin,Galions,mid,86,53,5.0813953488372094,2.116279069767442,6.709302325581396,778.5723720930233,8.881236046511628,31.03488372093023,61.6,5.57,61.6,5.57,LFL,Europe
Kinatu,REJECT,top,60,47,4.65,2.316666666666667,7.383333333333334,714.8810033333334,8.169278333333333,27.366666666666667,78.3,5.19,80.5,5.57,LJL,Japan
Pilot,Flamengo MDL,mid,30,13,4.8,2.066666666666667,6.666666666666667,655.0151866666668,8.400063333333334,34.46666666666667,43.3,5.55,43.3,5.55,CD,Latin America
choego,mCon esports,bot,45,28,4.977777777777778,2.1555555555555554,6.933333333333334,680.7872,8.787168888888889,28.733333333333334,62.2,5.53,62.2,5.53,ROL,Other
Ramune,Dream in 24,mid,24,17,5.0,2.5,8.791666666666666,772.9873208333333,8.430520833333334,26.0,70.8,5.52,70.8,5.52,LJL,Japan
