team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
Zenshi Gaming,11,5,15.272727272727273,17.181818181818183,2.6363636363636362,0.36363636363636365,4.545454545454546,34.1,45.5,45.5,NACL,North America
Weibo Gaming Youth Team,11,5,14.636363636363637,14.090909090909092,2.090909090909091,0.36363636363636365,5.2727272727272725,30.3,45.5,45.5,Asia Master,Other
Once Upon A Team,53,24,14.150943396226415,16.132075471698112,2.169811320754717,0.41509433962264153,5.226415094339623,32.4,45.3,45.3,ROL,Other
Malvinas Gaming,20,9,16.65,18.95,1.95,0.5,5.5,32.7,45.0,45.0,LRS,Other
Hanwha Life Esports Challengers,105,47,15.752380952380953,15.152380952380952,2.219047619047619,0.5523809523809524,5.4,32.7,44.8,44.9,LCKC,Korea
Blue Otter,47,21,14.72340425531915,15.0,2.276595744680851,0.574468085106383,5.23404255319149,34.5,44.7,44.7,NACL,North America
Team Insidious,65,29,17.26153846153846,17.29230769230769,2.3692307692307693,0.5076923076923077,5.984615384615385,32.4,44.6,44.6,HLL,Europe
CTBC Flying Oyster Academy,65,29,16.446153846153845,20.46153846153846,1.9846153846153847,0.36923076923076925,5.769230769230769,30.8,44.6,44.6,PCS,Southeast Asia
The Secret Club,27,12,18.59259259259259,20.962962962962962,1.7777777777777777,0.2962962962962963,5.222222222222222,29.6,44.4,44.4,EBL,Europe
Ethereal Enigmas,63,28,19.0,21.015873015873016,2.5396825396825395,0.5079365079365079,5.682539682539683,31.9,44.4,44.4,HC,Other
DKB XPERION NXT,18,8,20.055555555555557,20.555555555555557,2.388888888888889,0.5,6.222222222222222,32.0,44.4,44.4,PRM,Europe
Supernova,45,20,13.555555555555555,17.6,2.022222222222222,0.4888888888888889,6.288888888888889,32.4,44.4,44.4,NACL,North America
Team Vitality,52,23,13.961538461538462,15.288461538461538,2.1538461538461537,0.5961538461538461,6.0576923076923075,34.3,44.2,44.2,LEC,Europe
Rich Gang,43,19,14.581395348837209,16.58139534883721,2.0,0.4186046511627907,5.72093023255814,30.7,44.2,44.2,NLC,Europe
Barcząca Esports,16,7,17.375,20.75,2.5,0.5625,5.1875,31.8,43.8,43.8,RL,Other
WAP Esports,32,14,13.6875,16.71875,2.1875,0.53125,5.59375,32.9,43.8,43.8,LRS,Other
Underworld Esports,16,7,13.375,15.875,2.4375,0.75,6.0625,32.2,43.8,43.8,LIT,Europe
Fox Gaming,55,24,15.89090909090909,16.70909090909091,2.1272727272727274,0.6545454545454545,5.6909090909090905,33.2,43.6,43.6,AL,Europe
PÊEK Gaming,23,10,15.73913043478261,18.782608695652176,2.5652173913043477,0.6086956521739131,6.434782608695652,35.6,43.5,43.5,LRN,Other
Team UNiTY,53,23,17.30188679245283,16.50943396226415,2.150943396226415,0.5849056603773585,6.188679245283019,32.1,43.4,43.4,HM,Europe
Eintracht Frankfurt,53,23,15.264150943396226,17.132075471698112,2.30188679245283,0.7735849056603774,5.962264150943396,33.8,43.4,43.4,PRM,Europe
Gen.G Global Academy,130,56,14.4,16.746153846153845,2.123076923076923,0.4,5.569230769230769,31.9,43.1,43.3,LCKC,Korea
Jörmungang,44,19,15.272727272727273,20.431818181818183,1.9545454545454546,0.5,5.7272727272727275,31.7,43.2,43.2,ROL,Other
Fog Esports,58,25,16.844827586206897,18.689655172413794,2.1551724137931036,0.46551724137931033,5.586206896551724,31.4,43.1,43.1,AL,Europe
Green Dolphin Gaming,21,9,14.857142857142858,17.761904761904763,2.2857142857142856,0.5714285714285714,5.857142857142857,33.2,42.9,42.9,NEXO,Other
Icon Esports,14,6,14.642857142857142,19.357142857142858,2.357142857142857,0.5714285714285714,4.642857142857143,31.0,42.9,42.9,LRN,Other
BeFive,47,20,16.680851063829788,22.02127659574468,1.6170212765957446,0.425531914893617,5.382978723404255,29.4,42.6,42.6,EBL,Europe
